Unnamed: 0,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer,Meta_baseline_rs,Meta_baseline_ss,Meta_baseline_gt,Meta
"('47_yeast', 1, 20)",0.3477396447560122,0.3022976539146162,0.3495224888680311,0.5366569856849812,0.5070372513715565,0.4945250080913747,0.4340353689014389,0.4453870407339855,0.470639482847662,0.4473054516913506,0.4545112998445675,0.3819605701988145,0.4177596705568243,0.4326033387307715,0.4876235615964575,0.4148625989357052,0.4161899638512322,0.334699051926221,0.4182896552947698,0.5406516597706501,0.4646631677787563
"('47_yeast', 2, 5)",0.3134580731237761,0.2760872026480157,0.3684984996390328,0.3746574862538713,0.3950762310060701,0.3217211261365654,0.3367813513909578,0.3660117315535689,0.3942199105408614,0.4162723842647015,0.3802266932967428,0.3403011822097135,0.3272501599772903,0.321631784638578,0.3437102416029776,0.3245962372882852,0.3154223350411794,0.3544339219785035,0.3821330900376762,0.4991570099613512,0.3662960964147784
"('47_yeast', 2, 10)",0.3309718336573625,0.2814060390490524,0.4013566324317987,0.4279702609451838,0.4116062047954985,0.3795887285007856,0.374934117305144,0.3718602295806166,0.4479899870545821,0.4636440063004967,0.4111030340482348,0.3560951129257225,0.3534370475156131,0.3266517056044652,0.3824523104773926,0.2938557359016543,0.4139631022224793,0.3832735990142546,0.3768076329496931,0.5003546748286183,0.4264429284026871
"('47_yeast', 2, 20)",0.3171990447922442,0.3248208149595663,0.450713657110694,0.4995472620078139,0.5233849614057323,0.4652385919408572,0.4556911380795249,0.4700318819106939,0.456029873521107,0.4576006792812862,0.5512568193590515,0.4375643566693221,0.4541413434417882,0.4540733595737555,0.5051447350326974,0.427565202384129,0.4703121491063661,0.4577904503465606,0.4549608290346169,0.5590575009866496,0.5384771998471817
"('47_yeast', 3, 5)",0.3315824244088546,0.2951225840723266,0.3318140911074789,0.3579450893920004,0.3544888175020231,0.3626212349349578,0.4350707517259485,0.4156428831190684,0.3645547096667394,0.3546142300574149,0.3565828600137019,0.3508546102909386,0.3385377107567578,0.3605359038469714,0.3206419318761564,0.303489210485736,0.3103219886236067,0.3577698935252026,0.3630112207527611,0.4622906447771223,0.3705689916702841
"('47_yeast', 3, 10)",0.3314367279774112,0.3019944554407017,0.3451791106725295,0.4147077450476607,0.4079677700386384,0.3507146807099229,0.3801457021470786,0.4693651939007798,0.4574280990596793,0.3009726195179107,0.4143310201569397,0.3673156153615868,0.3748430514584216,0.3430528926998353,0.3615963709171852,0.4406900409017071,0.368331813183028,0.4029026775178023,0.3813796822620478,0.5023704593795508,0.3685819562471893
"('47_yeast', 3, 20)",0.3225656416093436,0.329643539529081,0.3581146600469297,0.4121510662692936,0.449790075063078,0.4382678592557729,0.3832361548189227,0.4563152732363265,0.4758889264475791,0.4006359149306503,0.4628757501139187,0.3917586039485213,0.4034586353206031,0.3820166610300079,0.420755829558351,0.3909025293291009,0.3957613968054542,0.4305986697556415,0.3973816585703367,0.4932013634685404,0.40477554087731343
"('20_letter', 1, 5)",0.0864940878423644,0.1454297408908532,0.3061654613907817,0.2506767517176101,0.3460146242572455,0.2573766710214349,0.3325911695467428,0.22856035088541,0.1039924153588097,0.0401118809164877,0.0617400515441361,0.1955753968253968,0.2076405394524543,0.2276129786524402,0.1904756459791923,0.4317950606172733,0.1394249833188725,0.1587634013669316,0.2148884215513012,0.410598817019462,0.19757694679194218
"('20_letter', 1, 10)",0.0865939823306195,0.1332184755212541,0.3106727441486837,0.2997917950482859,0.3326190642760127,0.2895017288090261,0.4037863174557807,0.1475125747418887,0.115276335593832,0.2397632059741833,0.0616519579228356,0.2421742518998616,0.2224637228710804,0.2183284001372568,0.2866336314757823,0.3704305839672306,0.1554788026420847,0.1301217583787257,0.2520518714072263,0.4746046145045861,0.2273215209381896
"('20_letter', 1, 20)",0.0867292313267788,0.133560941362666,0.3580875325308349,0.4753326457945979,0.4673811183173013,0.6251086687095339,0.4566744718098694,0.2923147850464886,0.1014506186065218,0.3415965993432241,0.3746861651691914,0.3786998940969368,0.3299317793255182,0.4381051448796276,0.4951184115043064,0.5923194994794942,0.4608901052516745,0.1245059616141653,0.3657753221860614,0.5572062203400627,0.360657346533798
"('20_letter', 2, 5)",0.0928850806040866,0.0759389208790085,0.2365668819205814,0.0971787660555158,0.1392259713763758,0.1033983052363174,0.2920309546073743,0.0701844334105857,0.0729045664039612,0.1646570891278129,0.0911910817177734,0.0947674418604651,0.1258554953017822,0.1699437740003398,0.1422963218734843,0.3609777549934561,0.1759741633908851,0.0968817457047444,0.0854549472230419,0.2086965825053081,0.06488671235635374
"('20_letter', 2, 10)",0.0929854465607161,0.1053750268767777,0.246255425184344,0.2140991834142274,0.2654575604516792,0.222399159216426,0.3726306455014526,0.11328697009045,0.1362277388949561,0.0498216510024918,0.2258324529792885,0.1579847044076724,0.243958127226416,0.2787617140144209,0.3036984826337839,0.3471874169523427,0.2366062329968317,0.1516195055354589,0.1625326948123501,0.4259990623594336,0.18436740407375465
