Unnamed: 0,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer,Meta_baseline_rs,Meta_baseline_ss,Meta_baseline_gt,Meta
"('20_letter', 1, 5)",0.4466296296296296,0.6854814814814815,0.7980740740740742,0.7907407407407407,0.837925925925926,0.7876296296296297,0.9070370370370372,0.6882222222222222,0.5317777777777778,0.2427407407407407,0.4801481481481481,0.7153703703703703,0.6782962962962963,0.7147407407407408,0.7535555555555555,0.7842222222222222,0.7298518518518519,0.7017037037037037,0.7188148148148148,0.8252592592592592,0.6710370370370371
"('20_letter', 1, 10)",0.4468518518518518,0.730962962962963,0.8065185185185185,0.7867407407407407,0.8368888888888889,0.7605185185185185,0.9000000000000001,0.6583703703703703,0.5260740740740741,0.7401481481481481,0.4741481481481482,0.765037037037037,0.8165185185185184,0.7798518518518518,0.8215555555555556,0.8066666666666666,0.6998888888888889,0.5993703703703703,0.8208148148148149,0.8825185185185185,0.5851851851851853
"('20_letter', 1, 20)",0.4474814814814815,0.7691851851851852,0.8488148148148148,0.8739999999999999,0.8687407407407407,0.922074074074074,0.9202962962962964,0.686,0.5295555555555556,0.7734814814814815,0.8285185185185185,0.8635185185185186,0.8250370370370371,0.8519259259259259,0.9293333333333332,0.912074074074074,0.792,0.6319259259259259,0.7420740740740741,0.908962962962963,0.8265185185185185
"('20_letter', 2, 5)",0.4202592592592593,0.5806666666666667,0.6874814814814815,0.538962962962963,0.6874074074074075,0.5551111111111111,0.8240740740740741,0.4726666666666667,0.4906666666666667,0.5517037037037037,0.4908888888888888,0.579037037037037,0.5399259259259259,0.568925925925926,0.5667407407407408,0.7944444444444445,0.5561481481481482,0.4834814814814814,0.4845925925925925,0.7785185185185185,0.4736296296296296
"('20_letter', 2, 10)",0.420962962962963,0.6642222222222222,0.7042222222222222,0.7621481481481481,0.7873333333333333,0.7625925925925926,0.866074074074074,0.6043703703703703,0.6237037037037036,0.381037037037037,0.6865925925925926,0.6661111111111111,0.7592592592592594,0.726962962962963,0.746,0.8026666666666666,0.6882222222222222,0.6301481481481481,0.6162962962962963,0.8204444444444444,0.5171851851851852
"('20_letter', 2, 20)",0.4224814814814814,0.6666666666666666,0.7271851851851852,0.8700740740740741,0.8661481481481482,0.8396296296296297,0.8935555555555555,0.7031851851851852,0.6348148148148148,0.7434814814814815,0.7790370370370371,0.8847407407407407,0.863037037037037,0.8245925925925925,0.910962962962963,0.8259259259259258,0.8600740740740741,0.7428148148148148,0.8451851851851853,0.9048148148148148,0.8107407407407408
"('20_letter', 3, 5)",0.4945555555555556,0.6013333333333334,0.7527407407407408,0.5928148148148148,0.6476296296296297,0.7354074074074074,0.8334444444444445,0.6328148148148148,0.564962962962963,0.4589629629629629,0.3844444444444444,0.6887037037037037,0.6562962962962963,0.5625185185185185,0.6787407407407408,0.7003703703703703,0.5355555555555556,0.603925925925926,0.5137037037037038,0.7794074074074074,0.6734074074074075
"('20_letter', 3, 10)",0.4912962962962963,0.6266666666666666,0.7556296296296297,0.5845185185185185,0.7257777777777777,0.7751111111111112,0.8780370370370372,0.6699259259259259,0.6453333333333333,0.6505925925925926,0.6823703703703704,0.6518888888888889,0.7273333333333334,0.6451851851851852,0.7413333333333334,0.6918518518518518,0.7309629629629629,0.5982222222222222,0.5664444444444444,0.8018518518518519,0.7109629629629629
"('20_letter', 3, 20)",0.4921111111111111,0.5725925925925925,0.786148148148148,0.7621481481481482,0.8004444444444444,0.8622962962962962,0.8886666666666667,0.6940740740740741,0.7194814814814815,0.3088148148148147,0.782,0.916037037037037,0.8105185185185185,0.74,0.9063703703703704,0.7175555555555556,0.8244444444444444,0.6603703703703704,0.6854074074074074,0.857925925925926,0.6071851851851853
"('6_cardio', 1, 5)",0.8916138339470787,0.9798413120230818,0.8150411905394633,0.8994343419004595,0.8378193690444554,0.8405907140958961,0.9698189134808852,0.9622641509433962,0.8577502752363237,0.754223453931134,0.8755172544702176,0.7950343570859116,0.8830720170077067,0.9468509168216848,0.9818913480885312,,0.777343305113701,0.9491097528567632,0.5627728635966744,0.9897877833035952,0.9827265479670476
