Unnamed: 0,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer,Meta_baseline_rs,Meta_baseline_ss,Meta_baseline_gt,Meta
"('6_cardio', 2, 25)",0.6289760195584012,0.7021461420304939,0.4926342280223041,0.817611872079241,0.7919867426521892,0.7715786960830848,0.8624805421624849,0.7580288717888337,0.6779422673813574,0.5173249409182372,0.6317437627621706,0.7998376529053448,0.6230045748197601,0.7286812720953632,0.8376155884071794,,0.8033874668524363,0.8342413144320123,0.3886354224239809,0.9163365545554624,0.7941256910222396
"('6_cardio', 2, 50)",0.6349653452184852,0.8051142821465151,0.4778606964501318,0.805383699513778,0.8409962477233697,0.8725566202357863,0.8663487692959011,0.7863266722160369,0.7132413594116978,0.6633799260336117,0.6929071392377852,0.8230453303313113,0.6679639610172817,0.7446538456053329,0.8107212836537137,,0.7603212479081114,0.8208226427240828,0.7625269427219623,0.9374459943973212,0.7695486020067325
"('6_cardio', 3, 5)",0.4757008171908257,0.3573762709431054,0.4337931507843115,0.6592002035304287,0.520135212164292,0.5608766131849048,0.586970039990806,0.564508056191521,0.5579034347425096,0.5713147489421704,0.4663690912668368,0.4092487059017001,0.4050520223966194,0.4084556268465692,0.7965186216781983,,0.4301205730287736,0.1146865595773767,0.3774439422272783,0.8888043540971665,0.6994138455915593
"('6_cardio', 3, 10)",0.4783852190190772,0.4968354604884388,0.5858369984086191,0.8095500696188249,0.8312923395725711,0.7616716012626337,0.7874358943771363,0.7101407013691016,0.7761731312942837,0.3975039112172288,0.6183808003643634,0.4991297318168237,0.6772661180079119,0.6357550924755032,0.8305884869917682,,0.7470572756423335,0.1172201683594906,0.6247990259164041,0.9102282822483336,0.8343350455743079
"('6_cardio', 3, 25)",0.4818208458832813,0.6389917285359001,0.395005718066123,0.8282503603822293,0.8215020367353565,0.8116498741713638,0.8249923376181283,0.7456066961320372,0.7266287883073859,0.4546291607242343,0.6418084956270224,0.8237695304948487,0.6673696466370239,0.7364484513627574,0.8570719102600001,,0.7615144693856688,0.1159462155754876,0.530929593193938,0.9257243292562358,0.8781627145020895
"('6_cardio', 3, 50)",0.4721779248928848,0.8312498285960461,0.4196018355573724,0.8983335885776305,0.9312264522467878,0.912648725638404,0.9478751368235416,0.8390456672251694,0.6969028847615513,0.7377428034136295,0.8364899393913616,0.9079755982888248,0.9010273826769964,0.8874113737809912,0.9210415545107968,,0.861156502783238,0.1164629438501445,0.7343160704115704,0.946231153845596,0.8793355549854877
"('12_fault', 1, 5)",0.3081745813574574,0.4669378798295284,0.2846073781154051,0.4591239057425297,0.4400048660139268,0.4240941789645474,0.403442060950925,0.5329524238417691,0.5041746351662605,0.3148096296559093,0.5099428233246557,0.3787396692792997,0.4215727676354814,0.3805122104012571,0.4895641318668973,0.4459308341511068,0.3766001460347105,0.469319822403592,0.4287451237959318,0.5659325405517348,0.4564718407712574
"('12_fault', 1, 10)",0.3099183609167236,0.4875546034371685,0.3332661224055689,0.5304170848481217,0.5078077805128585,0.4530207488914886,0.4632598475821265,0.4936280252919035,0.4754030860299543,0.5005600681254428,0.5174991851626702,0.4147803951554185,0.4574622343127743,0.443429962691335,0.5286806177878178,0.4501867107392795,0.4150083507645099,0.4433195872598773,0.4787050902800502,0.5628290279958756,0.4991899330933972
"('12_fault', 1, 25)",0.3015049453780903,0.4900043614642435,0.3611639882044642,0.5204098383013743,0.5254142750682276,0.4959469312393401,0.5185457844937391,0.4835787190009334,0.4251551843823902,0.4622553528188,0.5045951342756538,0.4723039793447942,0.5355178441577442,0.5291164345006741,0.6040869438934713,0.4171832345374873,0.4775756259125492,0.4801171023962613,0.4557174858503986,0.5492445799122283,0.3855347154367726
"('12_fault', 1, 50)",0.3029830038622353,0.5706704943566955,0.3320755984840342,0.61836918983214,0.5870020093510913,0.5665274770490726,0.646491694257312,0.5570531745304561,0.5481731613337165,0.5150052483159681,0.5915367325995556,0.5719426241820463,0.5951406641022601,0.6001146892332936,0.688634117116096,0.4814094273756022,0.542424712018354,0.5770599409039608,0.5205034508933615,0.6256505403552493,0.5367252696439719
"('12_fault', 2, 5)",0.4275033888845667,0.4251041675531783,0.3914607260426945,0.3761245628168336,0.368809160670503,0.4046699088021666,0.3857943118500218,0.380678543360027,0.3698113012808379,0.2985091769651635,0.4181295546750866,0.3479248198325461,0.4009152778115702,0.4025830149955076,0.3926761942697986,0.3670204078692591,0.3549026344237396,0.3253190203359501,0.3472127803964493,0.4967467027568027,0.3979072713450764
"('12_fault', 2, 10)",0.4254049201520077,0.4284787639649933,0.2965308879848001,0.4033491937468305,0.4113799022089953,0.4363629963171704,0.4491054318640622,0.4189668100905908,0.4344420348190433,0.3411237383799191,0.4424607659543955,0.4021733724109985,0.4019437425876287,0.4222634269132297,0.4658303817552811,0.3655156320717458,0.4427039523420919,0.3259814110775795,0.3677708971870516,0.5203705971763614,0.4593352705503042
"('12_fault', 2, 25)",0.4244372090367733,0.4878094891275697,0.3458404964660563,0.4866304361001956,0.468890606534998,0.4811226436438716,0.4865269565335853,0.5208845247733864,0.462435819412502,0.4114052613741404,0.4730054899033097,0.4402128074300354,0.4889554446264832,0.5101125309346399,0.5475097692334939,0.3729273143335171,0.4452527876770632,0.3331423821679631,0.3610488433337089,0.6019924177934242,0.4320707394648521
