Unnamed: 0,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer,Meta_baseline_rs,Meta_baseline_ss,Meta_baseline_gt,Meta
"('41_Waveform', 3, 10)",0.6386639676113358,0.6484333744059145,0.7880654814293258,0.907014610103855,0.8044358387607815,0.8651205773631403,0.8889280056328112,0.9169160359091708,0.922548847033973,0.8796426685442704,0.9395792994191164,0.7875374053863756,0.8850114416475973,0.8707093821510298,0.9245731385319488,0.7382063017074458,0.9130434782608696,0.4563897201196972,0.5357331455729626,0.9594701637035734,0.9401073754620666
"('41_Waveform', 3, 25)",0.6490934694596021,0.7940943495863404,0.8391128322478438,0.9320542158070764,0.9217127266326351,0.9173120929413836,0.933066361556064,0.9396233057560288,0.9132195036085196,0.8959250132019011,0.9463122689667312,0.8746919556416124,0.9269494807252244,0.91427565569442,0.9640028164055624,0.7702429149797572,0.9529572258405208,0.4592941383559232,0.6989966555183946,0.9684474564337264,0.938523147333216
"('41_Waveform', 3, 50)",0.6613712374581939,0.9121193451857068,0.5892888575954938,0.9567417708149972,0.9643548671008626,0.9546294666431968,0.9253212462594612,0.9493487062136948,0.9642668544270376,0.9698116528780144,0.9717919380390776,0.9213606759373352,0.9599982397465237,0.9512409787009328,0.9558616440767472,0.8242386903714134,0.9417356099278296,0.4555976060552719,0.7552807604295017,0.9776007745115296,0.9720119697236402
"('26_optdigits', 1, 5)",0.5482543759512938,0.8857971841704718,0.6636225266362252,0.990582191780822,0.9609969558599696,0.999048706240487,0.9770738203957382,0.9490106544901064,0.7700485159817351,0.9356925418569254,0.9717941400304414,0.9911767503805176,0.8158770928462711,0.984636605783866,0.9960521308980214,0.4908200152207002,0.9705574581430746,0.915953196347032,0.8708618721461188,1.0,0.999714611872146
"('26_optdigits', 1, 10)",0.5544853500761036,0.9610445205479452,0.7327815829528158,0.9995719178082192,0.999048706240487,0.9997621765601218,0.9921518264840185,0.9885369101978692,0.7098078386605785,0.948582572298326,0.982876712328767,0.9981687595129376,0.9548611111111112,0.9811168188736682,0.9975266362252664,0.6727549467275494,0.9912480974124808,0.6564640410958904,0.8225837138508372,1.0,0.9999048706240488
"('26_optdigits', 1, 25)",0.570181697108067,0.9932933789954338,0.6517313546423136,0.9996194824961948,0.9989060121765602,1.0,0.9986206240487062,0.9797374429223744,0.7893835616438357,0.9826864535768646,0.9928652968036528,0.999595700152207,0.9969558599695586,0.9960521308980214,0.9984303652968036,0.7955669710806696,0.9955764840182648,0.9849695585996956,0.9961948249619482,1.0,0.9999048706240488
"('26_optdigits', 1, 50)",0.5927511415525114,0.9999048706240486,0.6725171232876712,0.9999524353120244,1.0,0.9998097412480976,0.9999048706240488,0.9992389649923896,0.9197821537290716,1.0,0.9999524353120244,1.0,0.9998097412480976,0.9999048706240486,1.0,1.0,1.0,0.9539098173515982,1.0,1.0,0.9999048706240488
"('26_optdigits', 2, 5)",0.6812400985741948,0.8662647421228657,0.6376958281992607,0.9387431790177786,0.9158598838232708,0.9706037669424398,0.9630786833303996,0.9838496743531068,0.6538461538461539,0.9005456785777152,0.9921668720295722,0.8672108783664847,0.4517250484069707,0.9491286745291322,0.9861820102094702,0.3640644252772399,0.9808572434430558,0.9995159302939622,0.0992342897377222,1.0,0.9969635627530364
"('26_optdigits', 2, 10)",0.6803159654990318,0.9656310508713256,0.9151557824326704,0.9419996479493048,0.984377750396057,0.9979317021651116,0.9930910051047352,0.9883383207181834,0.7307692307692308,0.9507569089948952,0.9910667136067596,0.996083436014786,0.981385319486006,0.9974036261221616,0.9988998415771873,0.5685178665727865,0.9985917972187994,0.9999559936630874,0.6835064249251892,1.0,0.9997359619785248
"('26_optdigits', 2, 25)",0.7155430381975005,0.9952913219503609,0.5767030452385143,0.99982397465235,0.99947192395705,0.9996039429677874,0.9995599366308748,0.9866220735785952,0.9172240802675586,0.9530892448512586,0.9874581939799332,0.9975356451328992,0.9962154550255236,0.9977116704805492,0.9997359619785248,0.8675409258933287,0.9985917972187996,1.0,0.995379334624186,1.0,0.9981517338496744
