,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,19_landsat,5_campaign,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9287943799835935,0.6687362404899183,,0.7345981681830711,0.8791728190386903,,0.9550668289711044,0.9580946722593715,0.5,0.5999330450067166,0.9927083197328841,0.9475378049097316,0.8810798520295592,0.7901482294277737,0.9912014705246315,0.6146304990918492,0.9422912853711848,0.5,0.5,0.9922262813264145,0.7428930507821254,0.5,0.7129929806148612,0.637134812738514
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.9768635130296859,0.9621573183930878,0.919802352666163,0.9919391979575755,0.8937514948892141,0.9902777586984466,0.9978508156424355,0.9998332845147127,0.9717119298111163,0.5,0.9518522267409454,0.9966760120739515,0.8678849567441266,0.9991049493099353,0.978351492801609,0.9969610344149018,0.710729821750602,0.9466006889385398,0.919407359174782,0.8893281509336155,0.9937385012618092,0.8189171382783371,0.8133223219089311,0.9988800026051792,0.7873895961164193
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.4414515206171907,0.3995886663580327,0.9206124721589286,0.37217431649800736,0.8935644655252709,0.8435797932244204,0.9370103614027643,0.9551644710370433,0.9993060859208103,0.969691627780285,0.41165006373759283,0.3871128483335541,0.310633856375649,0.3425965988878078,0.991957806546727,0.9031308146925241,0.9959532222427173,0.4626062121165172,0.9462332211785416,0.34172525488295924,0.35184362618279436,0.9937505128114985,0.7567853498325391,0.6704363441136336,0.8413360985360254,0.6534723022974539
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5995345460290435,0.9068286526415683,0.9595429842448934,0.8761612401459198,0.989539705622289,0.8797097146950891,0.9834175792998279,0.9904233000993662,0.9998181899047173,0.9715106978536174,0.5,0.6450727286124572,0.9966290622976228,0.8546466368220172,0.9989879104769532,0.9733639928729494,0.996822610971668,0.7110835744440955,0.946224213240607,0.8003363425505343,0.8797132904325197,0.9935288234696821,0.8006205669930816,0.8051478783395011,0.9910796470249652,0.7807516381182447
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.46561823814351333,0.5548713925026902,0.5071082137206717,0.4931345872082051,0.552380383398088,0.395669501122591,0.6325551359100612,0.6594754666098143,0.46749618667203574,0.32105310417002997,0.51299428079073,0.5533237201645121,0.3249453697570268,0.4585195999813266,0.6113603442408939,0.7341082070595863,0.32815959332289396,0.433609279664809,0.6545690849744529,0.4148821823088263,0.6445026839134981,0.9939836324169823,0.7199996309048413,0.6626176145010829,0.5063829379509048,0.6696206135574625
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.4611027476117613,0.5054468787630276,0.5552096552387873,0.47750424278827885,0.6517568588487815,0.735999997131247,0.7858428277641079,0.8236282128364977,0.605974859532111,0.44091461098651985,0.5636149031244354,0.530957121528181,0.7401092744424529,0.5725436234488875,0.6387488588834632,0.5575589965200096,0.5825033082045992,0.4737539306263441,0.8109019567939124,0.550261056516255,0.5854571212451842,0.9690425510280629,0.5061335818716619,0.6812798950072656,0.9056428729649773,0.5855945447407538
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6778905174146711,0.9397284329549678,0.9533867421918663,0.8276017468356087,0.9851880437741503,0.8948552381747779,0.9724052295290284,0.9849351364054808,0.9996868989446048,0.9660134006521477,0.7135089869143102,0.9161755378578321,0.9938109266956128,0.9332305891353274,0.9990904549833314,0.9576623694739315,0.9952468464488882,0.7515654294117466,0.9387237235698855,0.8893728100826822,0.8826835844922333,0.9931077789103708,0.8531157671638621,0.8239814351959093,0.9631447086064409,0.7233884666640886
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.6117724775405382,0.9172312406530452,0.9628144703601527,0.8931974675561298,0.9886706447031581,0.8963666361083946,0.9928180541712491,0.9906470848349107,0.9998839687425787,0.9734614366203975,0.7623721462361076,0.9617565085678698,0.9966393949842409,0.9177112390782376,0.9989220002883094,0.9797619399297718,0.997210645825359,0.761655676999338,0.9446394575871455,0.9106723804398618,0.8977497242766592,0.9931854236078212,0.8374788491134657,0.8233874086491535,0.9968933306427423,0.7870892753341512
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7793333057952305,0.9887468671703677,0.9704513299925361,0.9398774462921009,,0.9374905611342103,0.9945767073116866,,0.9999594583609571,0.9652732386431495,0.5943669353833796,0.9718039461229223,0.9968823059262811,0.9490091139808315,0.9997073882757154,0.9876036285255203,0.9928221477080976,0.933374440016354,0.9487026226277514,0.9222256657546648,0.9296322644396944,0.9939755075246326,0.8951981646063016,0.8544517730477244,0.992332918207984,0.92398517868922
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.6705285218048525,0.9256255368542028,0.9669023821227274,0.9291321392186027,0.9955332937753194,0.9104711177578194,0.9975777793845623,0.9912485174166394,0.9998698893883907,0.9733549428889727,0.8242002822112278,0.9584571744626778,0.9965759326538479,0.9546342113679978,0.9990361145417408,0.9768673120877116,0.9972348403629552,0.7850436883072891,0.9521360278729938,0.9749412612692054,0.9090743517134366,0.9944590711936953,0.876118036716754,0.8587487461014824,0.9973176168557119,0.820965078257665
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7628865382721967,0.983854170666415,0.9656189582497339,0.9128353414478362,0.979538117787067,0.9326593607974141,0.9995635828518028,0.9930128436999012,0.9996428472421927,0.9691747097327581,0.956554734966387,0.9663266472285554,0.9962621364461347,0.9548172791276017,0.9998458760084592,0.9895756522331423,0.997294473369748,0.8219857010225088,0.9397214142316443,0.9871953180689234,0.8637956003234386,0.9931720993224443,0.8475765268311094,0.8719534816235117,0.9998105586972115,0.9259290048910307
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.47824635876351274,0.6164316818580736,0.9418906278623632,0.6308035649068238,0.7263833102580463,0.8000189497627282,0.8906331687874579,0.9032732137035943,0.997192199982932,0.9650244809388602,0.5188674279335032,0.5963236219577125,0.9758716656257844,0.7120655197052196,0.9605907081230057,0.7977861089373139,0.9945511993734424,0.5728325436753486,0.9333065487030907,0.5033537666547301,0.7088791905134239,0.9926127699123601,0.765758074653627,0.7056850890792319,0.7494357947797746,0.6603000634160522
