,40_vowels,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,23_mammography,38_thyroid,44_Wilt,3_backdoor,11_donors,28_pendigits,9_census,24_mnist,36_speech,1_ALOI,5_campaign,41_Waveform,31_satimage-2,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,2_annthyroid,30_satellite
"{'augmentation': 'GAN', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.053231954574585,1.1122641563415527,1.1657941341400146,1.3984332084655762,1.494694709777832,1.9484288692474365,1.528486728668213,2.3817431926727295,2.9183640480041504,3.0603981018066406,2.2839176654815674,2.4740681648254395,2.363018751144409,2.572890520095825,2.8487229347229004,1.09358549118042,2.267850399017334,2.409680128097534,2.639410972595215,2.4335780143737793,2.4668753147125244,2.999666452407837,2.7223730087280273,2.3493101596832275,2.508655071258545,2.005758762359619,2.95100998878479,2.408376455307007,2.317646026611328,2.84648060798645,2.369696855545044
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.9001967906951904,1.8426189422607422,2.1560373306274414,2.4217491149902344,2.7930400371551514,3.675032615661621,2.9360415935516357,5.10881233215332,5.3623011112213135,4.641550540924072,4.780201196670532,5.43171238899231,4.692215919494629,4.70292592048645,5.4958062171936035,5.0490562915802,4.506096363067627,4.498450756072998,4.730363368988037,4.473858833312988,4.613665580749512,4.467699289321899,4.574463367462158,4.685634613037109,4.8199498653411865,4.636324644088745,,4.449819803237915,4.618159532546997,4.427411079406738,4.688941240310669
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",2.519014358520508,2.38200044631958,2.8170032501220703,3.338369607925415,3.997828245162964,,4.172795534133911,6.372421503067017,6.646428108215332,6.222514867782593,14.287054061889648,6.4714555740356445,6.249621868133545,,7.342581748962402,,6.242631673812866,6.553163051605225,6.310689687728882,6.358243227005005,6.610685348510742,6.34091854095459,6.349973440170288,6.23820161819458,6.351602077484131,11.45427393913269,6.310542106628418,6.419271945953369,6.411190986633301,6.270725965499878,6.713715553283691
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.1302990913391113,1.219327688217163,1.4659607410430908,1.5977020263671875,1.7673859596252441,2.1650872230529785,2.1059463024139404,2.8951315879821777,3.264906883239746,2.9134957790374756,3.0543253421783447,2.998689651489258,3.373776435852051,3.3381166458129883,3.4470696449279785,3.075760841369629,3.004361629486084,3.093970537185669,2.8783226013183594,2.961397409439087,2.914975166320801,2.9188082218170166,2.9755167961120605,3.103623628616333,2.850437879562378,3.077754020690918,2.806384801864624,2.867419958114624,2.8607871532440186,2.820697546005249,3.0139918327331543
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'ResNet', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.797546148300171,1.9955899715423584,2.326014995574951,2.4453775882720947,2.8838772773742676,3.2564280033111572,3.2746307849884033,4.572690725326538,4.83634877204895,4.4892706871032715,4.7731194496154785,4.800353765487671,5.39680290222168,5.596773386001587,4.641073942184448,5.881944179534912,4.540288686752319,4.616151809692383,4.713343858718872,4.599477767944336,4.538055419921875,4.6316845417022705,4.93905234336853,5.122847318649292,4.624452829360962,4.687923192977905,4.496818780899048,4.670864820480347,4.699361801147461,4.474138021469116,4.729784965515137
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.735196590423584,1.8369176387786865,2.1493337154388428,2.353633403778076,2.750730037689209,3.2933783531188965,2.9352071285247803,4.261705636978149,4.5135698318481445,4.327840805053711,4.444837808609009,5.113220691680908,4.33184027671814,5.575662136077881,4.760669469833374,4.786095142364502,4.604968547821045,4.413201332092285,4.440679550170898,4.32720947265625,4.487931251525879,4.474886894226074,4.436073541641235,4.726415395736694,4.4198267459869385,4.457871913909912,4.293715000152588,4.428986310958862,4.311399459838867,4.352293252944946,4.616122245788574
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.9890339374542236,1.0945723056793213,1.341045618057251,1.5341341495513916,1.8695731163024902,1.9318184852600098,1.728067398071289,2.4403045177459717,2.616431713104248,2.4713540077209473,2.6092658042907715,2.6334099769592285,2.6491918563842773,3.1507580280303955,3.136286735534668,2.7539098262786865,2.513855218887329,2.5111753940582275,2.609478712081909,2.6106953620910645,2.5942647457122803,2.544055461883545,2.479698419570923,2.7674176692962646,2.538078546524048,2.6140193939208984,2.4239673614501953,2.5105388164520264,2.4983108043670654,2.3867504596710205,2.4650886058807373
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'AE', 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.6563804149627686,1.678389310836792,1.985642910003662,2.2813291549682617,2.9537875652313232,2.978457450866699,2.6198859214782715,3.869257688522339,3.6211907863616943,4.523332357406616,3.9227852821350098,3.776884078979492,3.735604763031006,4.222241640090942,3.884786367416382,4.036954641342163,3.9837899208068848,3.757601499557495,3.7673633098602295,3.8622162342071533,3.841465950012207,3.7848875522613525,3.7847540378570557,3.907632827758789,3.889850616455078,4.158279895782471,3.7409167289733887,3.800280809402466,3.799257755279541,3.76646089553833,3.8270606994628906
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",1.1017117500305176,1.218191385269165,1.4167733192443848,1.6364684104919434,1.7437546253204346,2.164311647415161,1.9094264507293701,3.4703266620635986,3.0051002502441406,3.316990852355957,3.0276007652282715,2.8383066654205322,2.984261989593506,3.3106343746185303,2.990938663482666,3.113701581954956,2.82633113861084,2.867372989654541,2.796598196029663,2.8431694507598877,2.9343619346618652,2.925800085067749,2.826354503631592,3.0549488067626953,2.9229483604431152,3.0187795162200928,2.7885582447052,2.8462729454040527,2.9314777851104736,2.8430557250976562,2.8227477073669434
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'FTT', 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'inverse', 'optimizer_name': 'SGD', 'batch_resample': False, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",1.316046953201294,1.6354219913482666,1.8880360126495361,2.0781118869781494,2.2092032432556152,,2.0549919605255127,3.8068366050720215,3.174513101577759,4.102589845657349,7.819633960723877,3.2979393005371094,3.3512587547302246,,3.8904330730438232,,3.4746952056884766,3.672292709350586,3.340399742126465,3.3728067874908447,3.5645458698272705,3.393364429473877,3.422924757003784,3.435267448425293,3.2813894748687744,5.9814605712890625,3.321658134460449,3.437363624572754,3.466769218444824,3.3148751258850098,3.386350631713867
