,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('17_InternetAds', 3, 20)",0.5169953828184808,0.8823442543348041,0.4931729421392987,0.4709209428351674,0.46573584050672046,0.4986358056870118,0.5472140323028805
"('7_Cardiotocography', 1, 5)",0.2566592988404615,0.6190941435565182,0.22629124682695512,0.6057835102756417,0.6556666862828919,0.5477603133292103,0.6066742033468502
"('7_Cardiotocography', 1, 10)",0.2622287993452409,0.563783464849276,0.24367468740224627,0.5839859339805447,0.6599158247969656,0.6053806398173688,0.6672338049456495
"('7_Cardiotocography', 1, 20)",0.2554904460792873,0.5202238005931722,0.24885574796938262,0.6489642779207389,0.6359808592954775,0.6988159876853539,0.6475783471311557
"('7_Cardiotocography', 2, 5)",0.22512612301796084,0.5109914243641366,0.20255534500742253,0.5709560849979187,0.6953804744605411,0.5955168182766384,0.5330994085702698
"('7_Cardiotocography', 2, 10)",0.225455160548921,0.4700304577737513,0.2325052104998982,0.626925786556711,0.7131102001444574,0.6354132158404278,0.6367681714843674
"('7_Cardiotocography', 2, 20)",0.225455160548921,0.5105336254964307,0.2858368201324363,0.6967830915338163,0.7146473238669493,0.7079885436602796,0.6334776515485857
"('7_Cardiotocography', 3, 5)",0.2204724409448819,0.29256057256589574,0.1733578366836882,0.5244236497964321,0.5091586352139528,0.4289589369381686,0.42280007789806323
"('7_Cardiotocography', 3, 10)",0.2204724409448819,0.45704733922013757,0.17545127870405886,0.4659275777942964,0.5218782085694902,0.4498293448589955,0.5822891969601595
"('7_Cardiotocography', 3, 20)",0.2204724409448819,0.40967269176589705,0.18398774383468733,0.6628844462171297,0.6153451971932701,0.5185432823463852,0.6247341644561785
"('23_mammography', 1, 5)",0.20923503165741258,0.4195258841906482,0.2701895102503723,0.37881083325544923,0.46007788373718983,0.31034696915875193,0.2503452527917345
"('23_mammography', 1, 10)",0.21030044850662075,0.5391372963106437,0.4152281767616691,0.5075522269731613,0.5587306614575878,0.2847962673654979,0.35414834775959514
"('23_mammography', 1, 20)",0.20551646776214946,0.4648443578278241,0.47243997499865886,0.5183957423659474,0.6004657173247403,0.4543059320774466,0.3981197656292279
