,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('6_cardio', 2, 20)",0.8937397972742114,0.9763866216164914,0.9309821191298735,0.9208837933259937,0.9326525188869064,0.9214912114194602,0.9830302570137809
"('6_cardio', 3, 5)",0.9135947762043961,0.9720967313313845,0.7744580691697354,0.8599521658251396,0.7977677385065108,0.6474697240044038,0.8483163129721726
"('6_cardio', 3, 10)",0.913404958050188,0.9771838578641662,0.871189400554269,0.9560381154853651,0.9714133859762347,0.9372840818495882,0.963592878022854
"('6_cardio', 3, 20)",0.9138225579894461,0.9840173114156638,0.8998519418397175,0.9603659694013136,0.9678068410462777,0.8990167419612011,0.962833605406021
"('12_fault', 1, 5)",0.40440736987084536,0.7167433278760946,0.6830903562797224,0.5397338946493074,0.5232972116109249,0.5423065928640107,0.4917751617681453
"('12_fault', 1, 10)",0.40573269925417743,0.6499831085470751,0.6897819703230165,0.6290896806216054,0.601608586055456,0.5389153088537201,0.5910384345521167
"('12_fault', 1, 20)",0.40028845404225466,0.6743587744601232,0.6914711156154986,0.6457212650398898,0.6217094150359918,0.6550895247005015,0.6907045035212183
"('12_fault', 2, 5)",0.5702814375925782,0.5403185987890128,0.6012577635716327,0.4655414360333672,0.47251890543385044,0.5524934383202099,0.5231412905070034
"('12_fault', 2, 10)",0.5660975546373536,0.6351835970998675,0.607637535407084,0.5376809334476755,0.5402926119383592,0.5226995140458928,0.633669863049297
"('12_fault', 2, 20)",0.5703723915698657,0.6513863984823679,0.6359632026194746,0.6135885242067514,0.5877446012317767,0.5649021595072893,0.6855071333905044
"('12_fault', 3, 5)",0.4935162807619345,0.7280995816117044,0.6727216028689483,0.5744913073984563,0.5756217354018867,0.6026610535069256,0.5891803747303864
"('12_fault', 3, 10)",0.4926717081156935,0.701580000519737,0.6826615732439385,0.6226449416595202,0.5851848964424002,0.6402900132532938,0.6575842623632442
"('12_fault', 3, 20)",0.5060289493516281,0.7058418440269224,0.6999818092045426,0.6204230659286402,0.6278942854915412,0.631103661547257,0.6611834411787635
"('17_InternetAds', 1, 5)",0.6364015151515151,0.888598484848485,0.6551136363636363,0.655189393939394,0.5830871212121213,0.6792234848484848,0.6842234848484849
"('17_InternetAds', 1, 10)",0.6367045454545456,0.8553977272727273,0.6729924242424243,0.5900568181818181,0.6004166666666667,0.6070265151515152,0.6409090909090908
"('17_InternetAds', 1, 20)",0.6378598484848484,0.8461553030303032,0.7038636363636362,0.6970075757575758,0.7084564393939392,0.6070265151515152,0.7444223484848485
"('17_InternetAds', 2, 5)",0.7005871212121212,0.8713257575757577,0.7271401515151517,0.587840909090909,0.5490340909090909,0.6731628787878788,0.7202935606060606
"('17_InternetAds', 2, 10)",0.7010227272727273,0.8936174242424242,0.7471590909090909,0.6411931818181819,0.6004166666666666,0.7767992424242425,0.8071685606060606
"('17_InternetAds', 2, 20)",0.7019886363636364,0.8966287878787879,0.7730113636363636,0.6778219696969698,0.643844696969697,0.7767992424242425,0.8362689393939394
"('17_InternetAds', 3, 5)",0.699280303030303,0.704782196969697,0.7249621212121212,0.5103219696969696,0.5501136363636364,0.5162121212121211,0.7306534090909091
"('17_InternetAds', 3, 10)",0.6995833333333332,0.9264393939393939,0.7490719696969697,0.6093371212121212,0.607935606060606,0.7331439393939393,0.7952272727272728
"('17_InternetAds', 3, 20)",0.699810606060606,0.9505871212121212,0.7529356060606062,0.6323106060606061,0.6378977272727273,0.7144128787878788,0.7969034090909093
"('7_Cardiotocography', 1, 5)",0.5162265512265511,0.8718759018759019,0.3838961038961039,0.755064935064935,0.8024819624819625,0.7877777777777778,0.8206421356421356
"('7_Cardiotocography', 1, 10)",0.5197619047619046,0.8371139971139971,0.4031746031746032,0.7137229437229438,0.8216305916305915,0.8138816738816739,0.8678210678210678
"('7_Cardiotocography', 1, 20)",0.5126334776334776,0.7896681096681097,0.41946608946608943,0.8345743145743145,0.8435353535353535,0.8730158730158731,0.8564502164502165
"('7_Cardiotocography', 2, 5)",0.5116378066378068,0.8306421356421357,0.41002164502164506,0.731075036075036,0.8514430014430013,0.7722438672438672,0.7739393939393939
"('7_Cardiotocography', 2, 10)",0.5126046176046177,0.7878427128427129,0.4713636363636363,0.8415223665223664,0.8586580086580087,0.8289538239538239,0.8255266955266956
"('7_Cardiotocography', 2, 20)",0.5126046176046177,0.8233116883116882,0.5515079365079365,0.8511471861471861,0.8451515151515151,0.8471645021645021,0.8213275613275614
"('7_Cardiotocography', 3, 5)",0.498989898989899,0.6516161616161616,0.3667099567099567,0.6806493506493507,0.6805050505050505,0.6538961038961039,0.7394155844155844
"('7_Cardiotocography', 3, 10)",0.498989898989899,0.8184704184704185,0.37650793650793646,0.7195959595959596,0.7290764790764791,0.7376190476190476,0.8354689754689755
"('7_Cardiotocography', 3, 20)",0.5,0.7769408369408369,0.4075324675324675,0.8412265512265512,0.8285137085137085,0.743001443001443,0.8287373737373738
"('23_mammography', 1, 5)",0.8210227272727273,0.8474431818181818,0.7826704545454546,0.8241477272727273,0.8008522727272728,0.8475568181818182,0.8085227272727272
"('23_mammography', 1, 10)",0.8229545454545454,0.8640340909090909,0.7908522727272727,0.871534090909091,0.8480113636363635,0.8006818181818182,0.8585795454545455
"('23_mammography', 1, 20)",0.8217613636363638,0.8589772727272729,0.8203977272727273,0.8941477272727272,0.8797159090909091,0.8875568181818182,0.8699999999999999
"('23_mammography', 2, 5)",0.8277804864835581,0.898044314426567,0.8908933311663687,0.8767538869927949,0.8849341784495368,0.8887805406576738,0.9005363237445149
"('23_mammography', 2, 10)",0.8240424725066362,0.9073080881954602,0.9014031095942358,0.9050327753399425,0.9057912129584484,0.9525976488433826,0.9227747982014194
"('23_mammography', 2, 20)",0.8277804864835581,0.8885638441952435,0.8982068367733895,0.9065496505769542,0.850587789154342,0.8376401755241345,0.8725283059754049
"('23_mammography', 3, 5)",0.9224768405655778,0.9554147028549759,0.932607400184192,0.9548729616989002,0.961482203803023,0.9643534319302237,0.9531935641150657
"('23_mammography', 3, 10)",0.9252938945771709,0.9606154179533019,0.9454466655831844,0.9628907308088195,0.9691749282192967,0.9640283872365784,0.9681456200227532
"('23_mammography', 3, 20)",0.9272441627390433,0.9528143453058129,0.9481011972479549,0.9584484533289994,0.9235603228777289,0.8685194214204452,0.9799014031095943
"('38_thyroid', 1, 5)",0.9827086353282254,0.989438807206461,0.9684717332781114,0.9732346241457859,0.9866431973493477,0.9104887140194656,0.974684199627252
"('38_thyroid', 1, 10)",0.9790846966245599,0.9908883826879271,0.9857113273969765,0.9941499275212259,0.9928038931455788,0.9989128183889004,0.9976185545661628
"('38_thyroid', 1, 20)",0.9846759163387866,0.9956512735556016,0.994978256367778,0.9982398012010769,0.9961172085317871,0.9969973079312487,0.9982398012010768
"('38_thyroid', 2, 5)",0.9523710913232553,0.9869020501138952,0.9377200248498654,0.9979291778836198,0.9978774073307103,0.9844170635742389,0.9863325740318907
"('38_thyroid', 2, 10)",0.9158728515220543,0.9796024021536549,0.9778939739076413,0.9977738662248913,0.9980327189894388,0.9982398012010768,0.9886104783599089
"('38_thyroid', 2, 20)",0.9396873058604265,0.9924414992752124,0.9888175605715469,0.9981362600952577,0.9978256367778008,0.9953406502381446,0.98169910954649
"('38_thyroid', 3, 5)",0.7175648207823112,0.9925635813792079,0.9458132963164939,0.9921173962619603,0.988795795944673,0.9960834861930494,0.9912002379653959
"('38_thyroid', 3, 10)",0.7154330474443508,0.9870110554756828,0.9751127856824153,0.9975707699172078,0.9970750086758218,0.9519111595855435,0.9937038322343958
"('38_thyroid', 3, 20)",0.7284219919686677,0.9866144464825739,0.9874572405929305,0.9976699221654851,0.9968271280551286,0.9985127162758415,0.9976203460413464
