,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('6_cardio', 2, 5)",0.5712132431386977,0.3865601880160089,0.38354686738640636,0.3721178402158215,0.3573646532408827,0.48589447605613956,0.6311081606993411,0.6857608663724285,,0.5798848653230203
"('6_cardio', 2, 10)",0.7073798023977078,0.5263234048557458,0.4625944935580584,0.5971255210402021,0.7533910963421631,0.6108575186382122,0.7689946082786956,0.867467792437056,,0.6200339055668285
"('6_cardio', 2, 20)",0.7786912964541997,0.6528421844715113,0.5526454660070268,0.6319174898234103,0.7932212824510312,0.7173900389659308,0.7126756579646376,0.8402838822895227,,0.7765889480489682
"('6_cardio', 3, 5)",0.564508056191521,0.5579034347425096,0.5713147489421704,0.46636909126683684,0.40924870590170015,0.40505202239661947,0.4084556268465692,0.7965186216781983,,0.4301205730287736
"('6_cardio', 3, 10)",0.7101407013691016,0.7761731312942837,0.3975039112172288,0.6183808003643634,0.49912973181682374,0.6772661180079119,0.6357550924755032,0.8305884869917682,,0.7470572756423335
"('6_cardio', 3, 20)",0.7403686660220988,0.6998679401467045,0.44670510720623263,0.5995027263337691,0.6877995623724037,0.6327322623140637,0.6696792636257696,0.8119616878089936,,0.6701564600369639
"('12_fault', 1, 5)",0.5329524238417691,0.5041746351662605,0.3148096296559093,0.5099428233246557,0.37873966927929975,0.4215727676354814,0.38051221040125716,0.4895641318668973,0.4459308341511068,0.3766001460347105
"('12_fault', 1, 10)",0.4936280252919035,0.4754030860299543,0.5005600681254428,0.5174991851626702,0.4147803951554185,0.4574622343127743,0.44342996269133506,0.5286806177878178,0.45018671073927957,0.4150083507645099
"('12_fault', 1, 20)",0.47696249591391066,0.43903861767372254,0.46484634201546143,0.5309482969034762,0.46417503227596774,0.5143080829724207,0.512435501194263,0.6080894577511295,0.4456208199814846,0.524937142296402
"('12_fault', 2, 5)",0.38067854336002704,0.36981130128083795,0.29850917696516355,0.41812955467508667,0.34792481983254614,0.4009152778115702,0.40258301499550764,0.3926761942697986,0.36702040786925916,0.3549026344237396
