component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
act_fun:ReLU,0.8767616169206932,0.862861330859679,0.8630936588667814,0.9159027735989456,0.8554105711727782,0.9138885187841274,0.9037124187683528,0.8878583828488297,0.8984353569054458,0.9113567898109811,0.8825440685693127,0.9012935938856111,0.900751157989634,0.9339174104283969
act_fun:Tanh,0.8812091849186346,0.8642039873010933,0.858365382411377,0.9584619708945374,0.8674626474141118,0.9405411135814525,0.9073342525049991,0.9104876198044213,0.9134503346920363,0.9543871963558538,0.8895220169713334,0.9085865740384222,0.9215808024085369,0.9354844729765006
dropout:0.0,0.8768368831789752,0.8688823768105922,0.8576676820375765,0.9332864652561043,0.8594305629650246,0.9300410375167704,0.9050448314369673,0.8986261866095979,0.9130353307835941,0.9318346568690489,0.8895369879726921,0.9054653064593631,0.9106117635350153,0.9385888818929212
dropout:0.1,0.8830552798583806,0.8640087607179066,0.8645207614439979,0.9450936786002848,0.8668203404400995,0.9263236710184543,0.9102874416627834,0.903376551712715,0.9039173540348495,0.9349256231124684,0.8837148543648486,0.9088692550090933,0.9131678568086841,0.9392250829128073
dropout:0.2,0.8830085288216512,0.8557533881915187,0.8621671000176325,0.9370020457549225,0.8594929555860558,0.9341475979278423,0.9118603260811291,0.9000578328144999,0.9085969063948399,0.936401203106592,0.8882190711968535,0.906662425236054,0.9136035352208317,0.9430230200471185
network_initialization:default,0.8672911872601886,0.8537749898159774,0.8470042142098231,0.9226267653909311,0.8481216648729337,0.9162967988934457,0.8986447475769223,0.8897788845537167,0.8937470157356284,0.9236952106571982,0.8735560741501863,0.889959001159526,0.9029086954008745,0.9405505887910639
network_initialization:kaiming_normal,0.888711357519678,0.867216792369452,0.8755464793560028,0.9495144217998275,0.8668750871425338,0.9326274912368014,0.9136829041311175,0.9039538989022655,0.9146715541810205,0.9376351654412803,0.8890822433049466,0.9118245621947288,0.9154002377686666,0.9275629151029454
network_initialization:xavier_normal,0.8882555972322208,0.8686987639590276,0.8625534570420291,0.9444828885498975,0.8724817563472491,0.9435399911469606,0.9159633803442507,0.9097871180616329,0.9189856741196655,0.9431802165147695,0.9008841753103857,0.9215199191740765,0.920326578059959,0.9541314650389231
training_strategy:None,0.8809314299119596,0.8628941018965761,0.8614250963162978,0.9384339575327663,0.8619058467903199,0.9301584861969329,0.9090217913796063,0.900667898048658,0.9085476285558615,0.9343800693319148,0.8871591294683986,0.9069958535241368,0.9124554357377975,0.9402345503089165
loss_name:bce,0.9163906608495441,0.8888527387911067,0.8760729002387979,0.97868549373699,0.8910507457012707,0.9491526904352332,0.9410852411650585,0.933435490592791,0.9356947319955528,0.9524832168709327,0.9217308619012058,0.9354881117512042,0.9592772677841257,0.9628745692723784
loss_name:deviation,0.9398537520084463,0.9310547009196511,0.9202401533783974,0.9746650046068468,0.9169431134326055,0.9722272997344125,0.9576255462633592,0.9549635796733268,0.9717961624097138,0.9653584172848615,0.9547152369547385,0.9666127352534735,0.9751952075292054,0.9871254549273343
loss_name:focal,0.8833785929430411,0.8452064239793372,0.8537980641897006,0.946079840138882,0.8675577512788424,0.9299698827312263,0.913214846049492,0.9079585907127865,0.8954717142086998,0.944517921504482,0.8826481995586697,0.9078713919522782,0.9378450346995736,0.9629097572063875
loss_name:hinge,0.9572176603901956,0.9378181000564815,0.9419461725754047,0.9854023307412876,0.9459042183358239,0.9772634025649903,0.965875187567061,0.9664704352180532,0.9698771292980849,0.978852635992184,0.9637649411663547,0.9767109129354599,0.9801772503782566,0.9956855938387632
loss_name:inverse,0.7072837029721963,0.6836521522887634,0.7070347604165151,0.7682739982275592,0.6569406551035234,0.7830249143360084,0.7450552898722015,0.7049735039884397,0.7188510299445103,0.8047522847778475,0.6866934252166522,0.6968807977865543,0.6382827402041072,0.7476433261388454
loss_name:minus,0.8718864981374317,0.8846104276267989,0.8593651579723516,0.9565214936370122,0.8780421419016652,0.9529876397245508,0.9214883723929029,0.9282753734174262,0.9502335296215331,0.9440365598938888,0.8987951113590709,0.9384072168737272,0.9543260236399682,0.9580004375641937
optimizer_name:Adam,0.8870336075804448,0.8793808243415613,0.8863794858835081,0.9391664563941975,0.8784234404709731,0.9427135541940853,0.9195325857236016,0.9101685383006429,0.9130186552298971,0.9367169749102984,0.8966558876094465,0.9130736620788854,0.9052987573528152,0.9332893240073206
optimizer_name:RMSprop,0.898588004989356,0.8886276252970264,0.8757073238697847,0.9347500570585555,0.877443988165643,0.9403186259323008,0.9196299499415366,0.9115669224393618,0.923540023891487,0.9421506529686373,0.9084321660136817,0.9127832418089774,0.9184401803296384,0.9459451209565725
optimizer_name:SGD,0.8550640574640201,0.8160901663149672,0.8155555479570645,0.9416685160349337,0.8253731172763045,0.9026554399669354,0.8851817796156426,0.8781863243891336,0.8871713880983944,0.9226079282481495,0.8526782311034002,0.8929012042403395,0.9149499724330254,0.9426125165182802
batch_resample:False,0.7072837029721963,0.6836521522887634,0.7070347604165151,0.7682739982275592,0.6569406551035234,0.7830249143360084,0.7450552898722015,0.7049735039884397,0.7188510299445103,0.8047522847778475,0.6866934252166522,0.6968807977865543,0.6382827402041072,0.7476433261388454
batch_resample:True,0.9131245478277584,0.8962158943670785,0.8896614436094447,0.9680519178834762,0.8994007566645524,0.9557172561542171,0.9392371599575404,0.9375349682127521,0.9433026860291798,0.9570347700450867,0.9233928179481049,0.9442149983097847,0.960855453528871,0.9731258523873573
epochs:100,0.8831819645547957,0.8673771638787772,0.8691296744244551,0.9455423124328955,0.869097394124785,0.9337355707082813,0.9103827461453614,0.9071282751165108,0.9148311236758451,0.9398025910332568,0.8940711566563846,0.9120309750527061,0.9139951948469736,0.9369108918841985
epochs:20,0.8838877584914141,0.8651144210553516,0.8599579201246488,0.9516090022532774,0.8696293483853654,0.9361956689705939,0.914252676764269,0.908775873835234,0.9208281645292076,0.9363387400098037,0.8882320247308424,0.9127878538626286,0.9242215614124552,0.9566124661261002
epochs:50,0.8753678027928707,0.8557791916736225,0.8547713659765804,0.9165557264236772,0.8460011235011248,0.919787557140795,0.9020080488280975,0.8852501530083202,0.8887782022822703,0.9263923444312706,0.8786323833508762,0.8952679225284972,0.8981457711400622,0.9263703828959341
