component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
"hidden_size_list:[100, 20]",0.8543839706358259,0.7818591426827941,0.852339697322849,0.9514513748404838,0.8557189814287491,0.9124428469167724,0.8898092163525645,0.8916438790603116,0.8591443505536109,0.9194433653420395,0.8350579458863467,0.8769155506492756,0.921452011757295,0.9365669327426159
act_fun:LeakyReLU,0.8540623382513867,0.7621525116173329,0.8547462054411981,0.9757356920265926,0.8460624417725189,0.928315983856387,0.8879553537550001,0.8863572927478327,0.8484639936325467,0.9415206432064493,0.8275946863927803,0.8791251734587434,0.9086462128642212,0.9330744898467853
act_fun:ReLU,0.8562495147583721,0.7920961140812767,0.8593161002953543,0.9309852298691802,0.8563830997532539,0.893245730520469,0.890964993794364,0.8891435955027809,0.8746206007785533,0.8991489828665178,0.8468675731392837,0.8800722348575848,0.9242454588384834,0.9357181186344045
act_fun:Tanh,0.8507024908816777,0.7801856184410805,0.8347514911771767,0.9699044709130933,0.8642678081315384,0.9372028307612056,0.889235913887377,0.9025990343237331,0.8368076996865457,0.9400476123962905,0.8172826317777105,0.8679430219322518,0.9284182311927628,0.9417989453738226
dropout:0.0,0.8543839706358259,0.7818591426827941,0.852339697322849,0.9514513748404838,0.8557189814287491,0.9124428469167724,0.8898092163525645,0.8916438790603116,0.8591443505536109,0.9194433653420395,0.8350579458863467,0.8769155506492756,0.921452011757295,0.9365669327426159
network_initialization:default,0.8543839706358259,0.7818591426827941,0.852339697322849,0.9514513748404838,0.8557189814287491,0.9124428469167724,0.8898092163525645,0.8916438790603116,0.8591443505536109,0.9194433653420395,0.8350579458863467,0.8769155506492756,0.921452011757295,0.9365669327426159
training_strategy:None,0.8543839706358259,0.7818591426827941,0.852339697322849,0.9514513748404838,0.8557189814287491,0.9124428469167724,0.8898092163525645,0.8916438790603116,0.8591443505536109,0.9194433653420395,0.8350579458863467,0.8769155506492756,0.921452011757295,0.9365669327426159
loss_name:bce,0.9024130271387927,0.815346942314504,0.8778316718697018,0.9683263493826049,0.8998771168494321,0.9146823164137546,0.9211370385673714,0.9294907264691522,0.8939072159575012,0.9465586259665001,0.8954812544882584,0.9228235361574466,0.9733232195290381,0.9916524316332997
loss_name:deviation,0.9201849412576705,0.8520606707025867,0.9138412374110214,0.9793894330372493,0.9271026738435089,0.956905332104461,0.9514844409639213,0.9534456720542417,0.9383397531461413,0.9697341525251642,0.9167618888560107,0.9440504535472505,0.9835968522800392,0.9991796498026213
loss_name:focal,0.7947472121104211,0.6107726688745337,0.796109791951449,0.9471691655810496,0.7172029299323907,0.8719345933336037,0.8149518524231237,0.8242110634137365,0.7101964490879935,0.8938485406302275,0.7138590189966318,0.7876162185210221,0.8806292711900414,0.9600179403331565
loss_name:hinge,0.934672007516832,0.8777966791693864,0.9268303164040794,0.980622113481651,0.9357224591871927,0.9588712278759779,0.9612600720684156,0.9532647776006566,0.9380184548767058,0.9599195035550053,0.9253178079114466,0.9480940211247115,0.9838252250463162,0.9920373277393068
loss_name:inverse,0.7206069026674072,0.7106449584090135,0.7397335417370104,0.8397830892559287,0.7441324683421842,0.8053368552200663,0.7747762743853939,0.7594427121728312,0.7475989521340202,0.8023547794957735,0.7063670026509513,0.7528139301417335,0.7308231902589855,0.6907709703355676
loss_name:minus,0.8425139129164754,0.808221008834297,0.8498598801178202,0.9833779977658982,0.8962099378561672,0.9599255799041709,0.9063504600861292,0.921733953070776,0.9113741893084727,0.9309572799653648,0.838383553571857,0.895183869929182,0.9623133941633515,0.9585194163170476
