Domain,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('Document', 3, 5)",0.649548181934285,0.7593190222776962,0.5400057122732372,0.670138583045881,0.6029007959446027,0.7646615824268156,0.7201647888686356,0.8916652464877379,0.7155295806655287,0.7966110281921863
"('Finance', 1, 10)",0.6399211886144809,0.5160286992403871,0.6242580453289384,0.6104784445903915,0.6931002862489003,0.778138514727568,0.7587330698025998,0.8934187536400698,0.672375122368307,0.5100311032354801
"('Finance', 1, 20)",0.6730566673688645,0.5382284786676415,0.6402805487056841,0.634369694791757,0.7362916516933296,0.8287587206780754,0.8387464528680653,0.8937285468221416,0.5461901634468829,0.7615955588049418
"('Finance', 1, 5)",0.5898090434825709,0.4962762859514988,0.3886789179543736,0.5521629759972242,0.5703602275121129,0.6161724432768684,0.6967992168428359,0.8336534529548073,0.6157573204128923,0.5898028476189295
"('Finance', 2, 10)",0.660953855226301,0.4793233082706767,0.6501793699936115,0.5608260848198928,0.6701312103788886,0.7865865644503415,0.7811686077939949,0.8089095287237702,0.5339574426261733,0.6045751633986928
"('Finance', 2, 20)",0.752420266352155,0.5200501253132832,0.7135608629416679,0.6918030370042755,0.7007592510688487,0.8026807214113716,0.8533588874146152,0.8531131750945992,0.51500073713696,0.8085286746277458
"('Finance', 2, 5)",0.5549904172195194,0.5069659442724458,0.5566981178436287,0.5120890461447737,0.5816502039412257,0.7079524792373091,0.7236473536783135,0.7901125362425672,0.4943486166396383,0.5559548380755811
"('Finance', 3, 10)",0.7429,0.5212500000000001,0.6205375000000001,0.6616375,0.70453125,0.7171500000000001,0.7279312499999999,0.7929875000000001,0.5285375,0.65214375
"('Finance', 3, 20)",0.7792250000000001,0.5485125,0.6763250000000001,0.65605,0.7782500000000001,0.8151625,0.7629875,0.8232375,0.5619999999999999,0.6605
"('Finance', 3, 5)",0.7344625,0.5081249999999999,0.6123625,0.6735625000000001,0.6195999999999999,0.6562250000000001,0.8046875,0.7985875,0.415075,0.6131375
"('Healthcare', 1, 10)",0.8580792446010559,0.8576040454054942,0.6357961294437964,0.7404758153991268,0.8598891841035952,0.910413550307101,0.9087807317685448,0.9355484819462097,0.6552893592347084,0.8634589114350396
"('Healthcare', 1, 20)",0.8920244648310873,0.8850617816512548,0.7124032964841235,0.8115729413292518,0.91039811757253,0.920759208289453,0.9292703444608559,0.9463104803353479,0.6987970048311012,0.8938880484422388
"('Healthcare', 1, 5)",0.8740196537298262,0.8437202592047729,0.5892479042864773,0.6918278008946355,0.7223019942711622,0.85356374594759,0.8744339934292776,0.9065646676714666,0.4621766326046556,0.856770467979899
"('Healthcare', 2, 10)",0.8448352833187981,0.8093187600415437,0.8098763445115477,0.7939645794398784,0.8354923758777322,0.90226040311673,0.9324966615074726,0.9625471325897632,0.7010377205914383,0.8832528904911067
"('Healthcare', 2, 20)",0.8592705148736245,0.9018971920279585,0.7399500429480229,0.8333041377070624,0.8922239142124406,0.8951498567142366,0.9188343858158454,0.9553305457452183,0.7160455420334235,0.9025767385940402
"('Healthcare', 2, 5)",0.7981049635022627,0.7521177468168294,0.6558029309210762,0.6065996542536667,0.7307679764031889,0.8388612890600404,0.9085224826702895,0.9302376529785091,0.614059772210972,0.8518417415996351
"('Healthcare', 3, 10)",0.8969853122997644,0.9113047030145424,0.7165077700129421,0.7538944200244111,0.8454432581518525,0.9086901759143118,0.9072620323373577,0.9593663708925465,0.6290774464584683,0.8866431289304053
"('Healthcare', 3, 20)",0.8710972027521597,0.9260728645591433,0.7999943141548773,0.7946972998125933,0.9129078752196159,0.9380019205712941,0.9447504864264701,0.9617845763594444,0.826368072011432,0.8855495027812561
"('Healthcare', 3, 5)",0.8556892379370117,0.8414760143315358,0.7248615728985147,0.5903779384553088,0.7607023286307898,0.8452857471811587,0.8612707227264174,0.9364808414497823,0.5258468359330262,0.8302098998945752
"('Image', 1, 10)",0.8161403720576899,0.6878401452127397,0.807738693428481,0.7728678762168438,0.7653912971340571,0.8041943347527576,0.8268455849672327,0.8725957917010841,0.713935927769969,0.8559137189186676
"('Image', 1, 20)",0.8311223229563952,0.7110938680255723,0.8117642312330481,0.8369598299279049,0.8335964458467278,0.8795078733676048,0.8859562959948413,0.8929748378702845,0.7238794479443058,0.8772005720516105
"('Image', 1, 5)",0.8202058235440544,0.6314418948210727,0.7288228106810439,0.757301277540636,0.7284584299819599,0.7537807530901193,0.8163259189315218,0.8546588842687255,0.6182005450985734,0.8214272315746849
