Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Image', 1, 5)",0.17267213438334386,0.5051078873557826,0.3057405603233669,0.4273941679429912,0.49112027243099504,0.43464761445667244,0.44811201591614636
"('Image', 2, 10)",0.17780706115810907,0.4996658922704066,0.3926322399520505,0.4844592160741087,0.5268027496860875,0.5004089950745908,0.517725929035669
"('Image', 2, 20)",0.18479167558539705,0.5189123073550443,0.4907920956496308,0.5369011905658398,0.5729940963665099,0.5536564864547444,0.5970452352125346
"('Image', 2, 5)",0.1826501836654332,0.49941549940403995,0.30696023849571874,0.4458950566522387,0.46274936314556986,0.39570124590454425,0.38652923687053503
"('Image', 3, 10)",0.16405533318488402,0.5153500310082822,0.4186259635813236,0.4668542341199308,0.5219759360263903,0.4802759787660534,0.5285574709956137
"('Image', 3, 20)",0.16976178315047022,0.5232795568228922,0.48493452295585937,0.4980356664355532,0.549085082326456,0.5094007261809776,0.5755844530277715
"('Image', 3, 5)",0.16853123783252794,0.46952603096688006,0.3358598169787724,0.43354588112757625,0.4597102639161939,0.42644519266347447,0.43816814640673984
"('Linguistics', 1, 10)",0.0623680503077228,0.5067600723298479,0.32324728769865424,0.4958658951556114,0.4841583584569221,0.4054589876845728,0.34924483090330594
"('Linguistics', 1, 20)",0.0551881951994669,0.44286389835278955,0.4153022959750776,0.5211178878457043,0.5674774334231453,0.40741746074790003,0.4039588306387811
"('Linguistics', 1, 5)",0.059473976305003395,0.4347076068277532,0.2443636120333605,0.4327616871161042,0.45749925576437417,0.4641781015086638,0.36270539081105496
"('Linguistics', 2, 10)",0.0836668614176289,0.361530468225542,0.2524522256917641,0.5853563290882828,0.5821897863162894,0.4760690933957496,0.45777056801475524
"('Linguistics', 2, 20)",0.08581854704310066,0.4727673830197701,0.37661862717706973,0.5462473174622589,0.5441564659500886,0.5021726503601512,0.43623680695101974
"('Linguistics', 2, 5)",0.0843171663083231,0.4007867920111808,0.19979055398489756,0.5687360379019243,0.5792028643801359,0.3200390009493752,0.4383310060889351
"('Linguistics', 3, 10)",0.0247920414821967,0.3480917301776627,0.20287209887665225,0.4747839240238964,0.45352299274673014,0.40132776992277763,0.3799276815061951
