component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology
loss_name:inverse,0.4862269513419876,0.3689815828822784,0.42436809491519134,0.629268877478084,0.45189777864551994,0.48809838576010856,0.5069920877728485,0.4860174168500855,0.5963849837130566,0.6240159839576823,0.3993514654139127,0.45201258328994104,0.4953120473144898
loss_name:minus,0.5983780801242988,0.44638903364097143,0.5167179434716318,0.7731024540354787,0.5838859097727053,0.6346545976059593,0.6122260579125054,0.632091368199241,0.7406230446939546,0.7289653383912156,0.49893889054784374,0.6026816804309998,0.6781501140181481
optimizer_name:Adam,0.63465801040117,0.4653961098267692,0.558473887268887,0.7692992928684237,0.6043238843530495,0.7207665387206911,0.6242616871390033,0.6716652566312411,0.778242890444614,0.7656435242972901,0.5513286700518877,0.629736839541832,0.7054375253582814
optimizer_name:RMSprop,0.617214705580668,0.4502485450507654,0.553054388402088,0.7550446280104254,0.5908715015189336,0.7078620808061052,0.6163740157946531,0.6527502652723405,0.7453591439195982,0.7546861542732511,0.5299024038602048,0.6163447629551562,0.6895913153433963
optimizer_name:SGD,0.5347052286364445,0.36155241580560377,0.4330086452113683,0.7071798019189346,0.4782297859287131,0.5067295460047876,0.5349731949215893,0.5319325915645047,0.5443481572557699,0.6376563788197422,0.41998061185533037,0.5126045616096462,0.582472544264505
batch_resample:False,0.4862269513419876,0.3689815828822784,0.42436809491519134,0.629268877478084,0.45189777864551994,0.48809838576010856,0.5069920877728485,0.4860174168500855,0.5963849837130566,0.6240159839576823,0.3993514654139127,0.45201258328994104,0.4953120473144898
batch_resample:True,0.6199207033608473,0.43854806309432653,0.5347655149783164,0.7677152871181138,0.5810931490328414,0.682512518216619,0.6102709082564489,0.647577271269818,0.711033910619161,0.7420125583018391,0.52261280686771,0.6166349386036454,0.6953647945637129
epochs:50,0.5972324586693877,0.42672176145827834,0.5162736702937207,0.7455924072271811,0.559409101942708,0.6496593665493837,0.5927135087742369,0.6201120960184635,0.6915435930451233,0.7227502838452468,0.5016583788205644,0.5886580729278768,0.6618979629939687
batch_size:256,0.5972324586693877,0.42672176145827834,0.5162736702937207,0.7455924072271811,0.559409101942708,0.6496593665493837,0.5927135087742369,0.6201120960184635,0.6915435930451233,0.7227502838452468,0.5016583788205644,0.5886580729278768,0.6618979629939687
lr:0.001,0.600420393454867,0.4258715459448191,0.5216645548748046,0.7530127214469123,0.5544080898954308,0.6402536019166019,0.594577906175142,0.6276924272795659,0.6954795960462505,0.7251234374716151,0.5045021931093371,0.5957198705419565,0.6652014500921455
lr:0.01,0.5940445238839083,0.4275518137579797,0.5109863192575715,0.7379337309584922,0.564340239570163,0.6591742765738088,0.5908933263314561,0.6127115354592053,0.6877009339886868,0.7203312087941802,0.4988820067678892,0.5815192024885409,0.6585606055564396
weight_decay:0.01,0.5972324586693877,0.42672176145827834,0.5162736702937207,0.7455924072271811,0.559409101942708,0.6496593665493837,0.5927135087742369,0.6201120960184635,0.6915435930451233,0.7227502838452468,0.5016583788205644,0.5886580729278768,0.6618979629939687
