Domain,LR,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('Document', 1, 10)",0.5807385738578964,0.6634126289757376,0.49810770539189286,0.4929508711420476,0.5262210134970283,0.645571903782942,0.6914462511823526,0.8154561481768601,0.3980786466101649,0.6661894956801939
"('Document', 1, 20)",0.6286141291739993,0.652875938850165,0.5504539369408499,0.6326825648615066,0.5948912129779782,0.7852290877372164,0.7416495341511384,0.8372168896013358,0.5787257755571804,0.66414775596633
"('Document', 1, 5)",0.5302916218767169,0.5796361817275524,0.34310691610245814,0.4368227782955332,0.42288776980379345,0.5626254611429355,0.5726380527926618,0.7195946492642962,0.5496023534235177,0.5533054733839243
"('Document', 2, 10)",0.504138567895547,0.5268590827049313,0.3349903559618676,0.36587145775707697,0.5080541033005981,0.6228335143935555,0.6291133892482719,0.7688601447202352,0.4042522162236214,0.6355624564953786
"('Document', 2, 20)",0.5958459676338993,0.6226982093375835,0.24090351354588366,0.3351537964897676,0.5729926200953328,0.6757457767754615,0.6632556509011603,0.7731452680353319,0.5508833946598701,0.6806007728458716
"('Document', 2, 5)",0.3725074504744176,0.45907468163448584,0.3382215451498186,0.41386665719680626,0.39607841466202676,0.6124210334185272,0.6132649513079121,0.7402885175566816,0.39592471737011725,0.5049473906505457
"('Document', 3, 10)",0.5585704760885762,0.6816816285759411,0.5454436296342424,0.44637452307789793,0.46304232469044104,0.6169114509018705,0.6278007244757092,0.7488596578926772,0.6451625560821491,0.6329910954493612
"('Document', 3, 20)",0.5608598458166724,0.74232332794543,0.3394847604139666,0.517982709720479,0.5975792916263705,0.7481375119643274,0.7149236464928987,0.8084399547253198,0.5939116459405318,0.6639213993221624
"('Document', 3, 5)",0.4371494215562777,0.5921158486906446,0.3721983988177653,0.4672605592542549,0.3609559296676036,0.5517919973422629,0.5417108897798992,0.7524551410751605,0.44701096827038667,0.5600806417020441
"('Finance', 1, 10)",0.2678244007973325,0.1156774111915984,0.2089222695473706,0.1996083832804223,0.277420811046622,0.3452659389861462,0.3516451228557876,0.4940667196607072,0.2763161496913879,0.1449294770361731
