component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology
loss_name:inverse,0.7245786792970458,0.6013318276677686,0.6630896373599907,0.7666206287455198,0.6707777743633049,0.7299557234292278,0.7453264407087095,0.6968400247721123,0.722785377566215,0.8303918170857857,0.6573920975805616,0.6986820739928921,0.6339995572634145
loss_name:minus,0.8631048501550116,0.7487940457286693,0.7697635911191191,0.9645829348627416,0.8475247238285463,0.9059576894001551,0.8781991661539432,0.8774721176092757,0.9297336212702155,0.9425204983354425,0.8081591569834964,0.9085708359197275,0.9452254097650854
optimizer_name:Adam,0.8771828950644321,0.785373882354744,0.8223634665103224,0.9379526290916018,0.857512761374017,0.9102359300270769,0.893299711801472,0.8842002275010634,0.9086279349818659,0.9429801577114173,0.8403502478746321,0.8948714133735125,0.899339678709421
optimizer_name:RMSprop,0.8853748431229347,0.8017818560149256,0.815038691790541,0.9295994867884911,0.8553861865455158,0.9175528207840087,0.8936266760736175,0.8847360034900695,0.9126086209063655,0.94661745208265,0.8573270805199888,0.9030092924051133,0.9073639101473101
optimizer_name:SGD,0.8437596038846487,0.6937960440430768,0.7231988747991971,0.9376183102684313,0.7880374548445241,0.8578538757323719,0.8424466446835059,0.832631394384704,0.8523693221297611,0.9164940485535292,0.7659145180472506,0.8702043877282402,0.9009255733127025
batch_resample:False,0.7245786792970458,0.6013318276677686,0.6630896373599907,0.7666206287455198,0.6707777743633049,0.7299557234292278,0.7453264407087095,0.6968400247721123,0.722785377566215,0.8303918170857857,0.6573920975805616,0.6986820739928921,0.6339995572634145
batch_resample:True,0.8969639792091543,0.7920091967969127,0.8126464768427345,0.9641738173429636,0.8659227459376393,0.927007905666626,0.9025739039986352,0.900901376587275,0.9240593555102053,0.9552426179556085,0.8539324769485235,0.9243471590082789,0.9503693268871188
epochs:100,0.8702052800661114,0.7690334993022355,0.7935942180249524,0.9368520227344017,0.8339680810448469,0.8948758896584038,0.87687868569224,0.8685342205069697,0.893401409228019,0.9370340326778601,0.8234465467821169,0.8863712168540641,0.9027728414371937
epochs:20,0.8731324046543064,0.7569161011085882,0.7907370764748414,0.9493504342919303,0.8431812810510187,0.9051022567494924,0.8844145192672669,0.8763269178496758,0.9042383650368603,0.9415492596364746,0.8241185833479976,0.9027618207573995,0.9191967099505366
epochs:50,0.8653613169489334,0.7616762916962165,0.7831343264807539,0.9176954681956908,0.8286694483743592,0.8906348194435293,0.8712697186799058,0.8591735800036788,0.8796416166503079,0.9302170163572155,0.8214583024754489,0.8807999135872213,0.8843591323260496
batch_size:16,0.8732264830232024,0.7782646975518096,0.7940306950810974,0.9251100546476988,0.8325509278063761,0.9048622403269262,0.8766140916303424,0.8666794126220129,0.8980702829050903,0.9325492424187661,0.8350882864972397,0.8921350225153898,0.8981573475584661
batch_size:256,0.8618753489447274,0.7337607435463741,0.7761573556692073,0.9453524460099367,0.8326845968954125,0.8833150663300546,0.872521181939059,0.8650820161880601,0.8792150733951211,0.9341059160137575,0.8034762009938548,0.8798895013670283,0.9087224187347362
batch_size:64,0.8732042437518498,0.7733791456235339,0.7963725405069134,0.9352553975814095,0.8406559737742935,0.9019552278216352,0.8832614641692883,0.8723266926221476,0.8996353645696504,0.9421205573742284,0.8292596353090265,0.897807073004884,0.9010165803620481
lr:0.001,0.877249284371239,0.7605815228177544,0.7992027305543732,0.9444035903599859,0.8411901764050858,0.8979021284459324,0.8824068534286302,0.8733121973102997,0.8942890604576248,0.938470664401325,0.8232760325959236,0.8931815735757438,0.9082785098066556
lr:0.01,0.8616727109740733,0.7644470188792746,0.7787576080416749,0.9250638889243278,0.8294067711379396,0.8961375065327731,0.8726991679328606,0.8628110627060225,0.8909610649972709,0.9342173334064652,0.822781746050145,0.8871350235801339,0.8963618006009592
weight_decay:0.0001,0.8860882059738351,0.7938288702578852,0.8218566641994622,0.9474111105532869,0.8589567619749803,0.9151162789427882,0.8915361409290523,0.886333011806207,0.9128323736581438,0.9522269898481845,0.851379428307985,0.9061356226174196,0.9117990533780307
weight_decay:0.01,0.8531346667153037,0.7310549710101107,0.7566675172239126,0.9225624498775983,0.8118940062166403,0.8788081497496789,0.8637684016082212,0.8500558961324824,0.8724180720893407,0.9203857948213076,0.7944944117187899,0.8742290849841005,0.8930794440182315
