component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology,Web
"hidden_size_list:[100, 50, 20]",0.5736039780236761,0.5728298520729544,0.5459460569395793,0.678433491487992,0.5495177645268814,0.7343773570292385,0.5778157899640268,0.6354687964501263,0.7785418591999188,0.7098780978116815,0.6451939894824603,0.6700178091355693,0.6428973439253475,0.7201530674233049
hidden_size_list:[20],0.5741805355286255,0.5555805827235123,0.5353783097443439,0.6866581214564548,0.5314914152715816,0.71197260293403,0.5625593005051838,0.6254575217809744,0.7544162908140456,0.7124059244480196,0.6130532402317442,0.6356298526875507,0.6542763726514579,0.7391180168315397
act_fun:LeakyReLU,0.576708407872441,0.5497602460377266,0.5349179663258179,0.7307691682436235,0.5601713261822847,0.7525455654286713,0.5784270407572659,0.6409129040507908,0.7880408071182815,0.7437867757391519,0.6275108324550839,0.6535346280792218,0.6774983742045396,0.7361707607873565
act_fun:ReLU,0.606218813498595,0.6039634671438676,0.5707071155807498,0.6725996284259328,0.5647326175534438,0.7365341003655643,0.6011175786727889,0.6447539781419702,0.7633203267021149,0.7013310285999428,0.664922964669741,0.7051270416419052,0.6326897023021704,0.7423547686889684
act_fun:Tanh,0.5727856789948143,0.5553033991059512,0.5424727070206302,0.7054416863700632,0.541001750218259,0.7123564127182958,0.5705298520508336,0.6448380637763249,0.7806011428141286,0.7411576431610328,0.603850665266457,0.6106052518056172,0.6809908670534276,0.7499980015019669
dropout:0.0,0.5994049242016909,0.5913954680811113,0.5619230314035264,0.7026442672158368,0.5691105193280785,0.7466755692955809,0.5977772031010327,0.6496944515144818,0.7832514680930948,0.728886496630843,0.6561971494546421,0.6833161637799074,0.6726877546529809,0.7429940798795059
dropout:0.1,0.5857256176400912,0.569284396203709,0.549244537271669,0.7029034908788373,0.5482675948416685,0.714941816541404,0.5789836418500531,0.6395535768110793,0.7665927689945224,0.7181029724226974,0.6182318315026082,0.6509428522907365,0.6535203879196168,0.7458738215142274
dropout:0.2,0.5856417851979273,0.5734599302341303,0.5527821163117524,0.6798346378962091,0.5543180031039718,0.7395794963577891,0.5857196873229473,0.6421608143503391,0.771371561817976,0.7191277108161896,0.6445343132971154,0.6680517859476995,0.6422463143388003,0.7399407116089936
network_initialization:default,0.5629473299507207,0.5578115467121297,0.5342236330026201,0.6673707155837965,0.5327137382967112,0.6941820396322905,0.5650631967937878,0.615808871388626,0.7491056777956807,0.7009017966867411,0.6092444134723857,0.6300132398145623,0.642719189667358,0.7189482104963366
network_initialization:kaiming_normal,0.6235006890059583,0.6154228469129681,0.5910235215051968,0.7235930435947641,0.5867480072782623,0.7624164488692711,0.6187942561135397,0.6698827957635235,0.7932299016604788,0.7376319768228721,0.6758617481958487,0.7014068627718629,0.6771175932081879,0.7606024775243204
