Domain,GANomaly,REPEN,DeepSAD,DevNet,PReNet,FEAWAD,XGBOD
"('Chemistry', 1, 10)",0.8931469971099409,0.990617205748446,0.997941327843541,0.6947622629557781,1.0,0.755018013381369,1.0
"('Chemistry', 1, 20)",1.0,0.998178866938517,1.0,0.9855497050556238,1.0,0.8920384813333861,1.0
"('Chemistry', 1, 5)",1.0,0.8158280216952374,0.9120709450096997,0.4879448909299655,1.0,0.8810918880399066,1.0
"('Chemistry', 2, 10)",1.0,0.9825114678899084,0.984354521625164,0.6080029488859764,0.4865661861074705,0.8075442332896461,1.0
"('Chemistry', 2, 20)",1.0,0.9734600262123198,1.0,0.997993119266055,1.0,0.8986320445609436,1.0
"('Chemistry', 2, 5)",1.0,0.9610910878112712,0.9229193971166448,0.5302260812581914,1.0,0.7538908912188728,0.9993446920052425
"('Chemistry', 3, 10)",0.996357733877034,0.9724850548319413,1.0,0.5339482956569935,1.0,0.7753671958509838,1.0
"('Chemistry', 3, 20)",0.5154202462488617,0.9837285719941408,1.0,0.8919593016350609,1.0,0.8732333029811157,1.0
"('Chemistry', 3, 5)",0.6891009145255156,0.9604101508373252,0.9982580466368424,0.6413555564353299,0.9966348628211726,0.7444871135040976,1.0
"('Document', 1, 10)",0.5059066340057339,0.6647522725636352,0.4518266296579865,0.8018068137482908,0.800003560170083,0.7789800078731559,0.8347665807001966
"('Document', 1, 20)",0.49956499252004527,0.6721356481164804,0.4548478833608893,0.8032377892151052,0.7143174652755941,0.8288529537174477,0.8968434917985249
"('Document', 1, 5)",0.5003295972798133,0.6639005289954596,0.4497629629680508,0.7216117077903914,0.7016379437054291,0.6583090664972997,0.7861930301544657
"('Document', 2, 10)",0.5131927108810018,0.6092271693631447,0.5016711040609596,0.7922172839618988,0.7793037193214638,0.7984904579105412,0.8691223850425092
"('Document', 2, 20)",0.5053344150286809,0.6171886640598367,0.5062658613190341,0.7709296913524801,0.8283823503065908,0.8479605275871781,0.8751378414666148
"('Document', 2, 5)",0.5249464683151772,0.633670718866477,0.5011349566866402,0.709313050964062,0.6684200165701248,0.7816717129690662,0.8748274583171721
"('Document', 3, 10)",0.518352107338014,0.6210967389781948,0.4617972463873041,0.7816794990201085,0.8602926961939648,0.8433221079044644,0.8621877023472402
"('Document', 3, 20)",0.5269517676658829,0.635961659946819,0.46438488722667964,0.8161432072640673,0.8640913570684575,0.8101803185545682,0.8904049080307046
"('Document', 3, 5)",0.5067149060791868,0.6433644949839192,0.4613037856304587,0.7969310282762914,0.6677157306417343,0.761120351700722,0.8053460947191464
"('Finance', 1, 10)",0.733565471691099,0.695200684023346,0.6106891039542002,0.6794136234649748,0.6978772971164451,0.6350016728831831,0.8709711396671582
"('Finance', 1, 20)",0.7341974497825252,0.7371218974212814,0.6475297091661607,0.7155974671309434,0.7195628198614603,0.6792153558284489,0.8721917248045206
"('Finance', 1, 5)",0.7321899899627009,0.6711111661854545,0.6118539263187895,0.6486697480761844,0.6638496139976952,0.6311602374254947,0.7637331317612361
"('Finance', 2, 10)",0.7053049289891395,0.6948252985404688,0.6424394319131161,0.7395326551673302,0.7893016855865154,0.6547741903779055,0.8026438645633692
"('Finance', 2, 20)",0.7071109145412552,0.7274558946385572,0.6332866479925304,0.7899282520025553,0.8288736547250479,0.6901567644601702,0.8233328419086932
"('Finance', 2, 5)",0.7057226399331662,0.6336306452405523,0.6215907415597819,0.6086417022949531,0.6502407980736155,0.4648754238537519,0.7300727308467247
"('Finance', 3, 10)",0.7732499999999999,0.7935749999999999,0.6254875,0.6878000000000001,0.6637749999999999,0.5917375,0.80408125
"('Finance', 3, 20)",0.7739125,0.8082249999999999,0.622125,0.7322,0.7062999999999999,0.584925,0.859375
"('Finance', 3, 5)",0.7728125,0.7512624999999999,0.6077,0.67235,0.7110875,0.5609375,0.7535437500000001
"('Healthcare', 1, 10)",0.7802769679539039,0.8767226320953896,0.7437801287368713,0.8642438879557537,0.8765160261169385,0.8523777819138066,0.9279596901036655
"('Healthcare', 1, 20)",0.7922151517345624,0.850473772625155,0.7761234598021194,0.8924394123819048,0.8871224665386788,0.9151524848005647,0.9385823743709005
"('Healthcare', 1, 5)",0.7894615497811609,0.8691218485032774,0.7294460435106502,0.8564856299754242,0.8532983309088429,0.7576914586611454,0.8965456709964552
"('Healthcare', 2, 10)",0.7468774412991873,0.8386695578229212,0.7956113738008009,0.8500174647309858,0.860456526612033,0.9154971469861886,0.937791086579103
"('Healthcare', 2, 20)",0.7616882685430472,0.8614829933630667,0.828010914803459,0.8609821230368391,0.8586814661478301,0.8873689374756244,0.929659110638428
