,47_yeast,20_letter,6_cardio,12_fault,17_InternetAds,7_Cardiotocography,24_mnist,9_census,28_pendigits,11_donors,1_ALOI,44_Wilt,38_thyroid,23_mammography,2_annthyroid,3_backdoor,41_Waveform,26_optdigits,22_magic.gamma,32_shuttle,35_SpamBase,27_PageBlocks,25_musk,33_skin,8_celeba,19_landsat,5_campaign,30_satellite
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'minus', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.5,0.5,0.9579789898248668,0.5,,0.5,0.921114455681142,,0.9831181439619274,0.9690798334324807,0.5,0.7250093991671623,0.9870788816180844,0.8497888161808447,0.9661192147531231,0.5,0.774063771564545,0.9914336704342652,0.6948241522903034,0.9782073765615704,0.5,0.5,0.5,0.8153192147531231,0.9478073765615704,0.7228361689470553,0.859905770374777,0.6620354550862582
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7031467693291154,0.9859664599528343,0.9822204082063613,0.9206015206351879,0.9971159249173622,0.926179249094411,0.9953549077929803,0.9991371802498513,0.9994298631766806,0.9821666864961334,0.5,0.7151069601427722,0.9987576442593694,0.9636293872694824,0.882407257584771,0.9993610945865555,0.9800928019036288,0.9981948839976205,0.8048873289708506,0.9790550862581797,0.9361006543723973,0.9463871505056514,0.9982441403926234,0.8950596073765615,0.9895399167162403,0.8831683521713267,0.9991911957168352,0.8808563950029744
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.4138764362635021,0.28558476722857895,0.9610667029176546,0.41308572744531413,0.9646272826336707,0.8747321919589274,0.963155264723379,0.9705458655562166,0.9989848899464604,0.9768130874479476,0.36907638310529445,0.31583664485425345,0.0701994051160024,0.9303653777513385,0.2944931588340274,0.9964333135038668,0.9339214753123141,0.9980585365853658,0.32674943486020225,0.9789161213563355,0.23074765020820942,0.08855942891136229,0.9977401546698395,0.8744478286734088,0.9612967281380131,0.7115070791195717,0.8817545508625819,0.7263233789411064
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'bce', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7190634783392614,0.9535251987073107,0.9817333955407326,0.8696950780424394,0.9949621106128959,0.9129914629529965,0.987876502082094,0.9933392028554432,0.9994203450327186,0.9809370612730518,0.5,0.7152766210588934,0.9987117192147531,0.9573231409875074,0.8689035098155861,0.9993063652587746,0.9752421177870316,0.9981806067816775,0.8028078524687686,0.9790657941701367,0.8656011897679952,0.940706484235574,0.9984111838191552,0.8849537180249852,0.9873616894705534,0.8439010113027958,0.997822010707912,0.846098750743605
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.5472379075218411,0.5753664075465106,0.407090785627979,0.4740803477073572,0.5856796657635093,0.3880436288987342,0.646024747174301,0.7452141582391435,0.5278686496133254,0.07626888756692443,0.608283997620464,0.5554699583581202,0.14688828078524688,0.898666983938132,0.4813377751338489,0.742889232599643,0.783982748364069,0.13245758477096967,0.3016358120166568,0.7427099345627604,0.4214,0.7028021415823915,0.9957337299226651,0.84921998810232,0.5586958953004164,0.666632242712671,0.44234431885782277,0.7385121951219512
"{'augmentation': 'SMOTE', 'preprocess': 'minmax', 'network_architecture': 'AE', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'focal', 'optimizer_name': 'SGD', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.42933368437443653,0.5198497685387371,0.5759119444145653,0.5581858055345136,0.497427025108686,0.705807571934158,0.8367229030339085,0.7195683521713266,0.7744679357525281,0.4095618084473528,0.4573656157049375,0.6391108863771564,0.7265856038072576,0.13509256395002978,0.6029767995240929,0.7753941701368232,0.5842582986317668,0.6605740630577037,0.388844497323022,0.3097045806067817,0.5120654372397382,0.3402623438429506,0.9794688875669245,0.5666688875669245,0.5592235574063057,0.6991722784057108,0.8286836406900653,0.6346660321237358
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'Tanh', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'deviation', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7828194405743415,0.9288226045942878,0.978924163945093,0.8204491999364064,0.9908575217997629,0.9279191749822849,0.9914227245687092,0.989008209399167,0.9992870910172517,0.9819712076145152,0.6908792385484831,0.9675224271267103,0.9984585365853659,0.960594765020821,0.9645300416418799,0.9992985127900059,0.9791616894705533,0.9973886972040452,0.8009102914931587,0.9793299226650801,0.9160975609756099,0.9449513384889947,0.9949927424152291,0.9051450327186199,0.9729909577632361,0.8167678762641284,0.989812730517549,0.8337729922665081
"{'augmentation': None, 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'LeakyReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7420109123244112,0.9698165778670625,0.9824084822032506,0.8908943083728456,0.9928938915164627,0.9205138388504441,0.9926398572278405,0.9919545508625818,0.9994481856038073,0.9854010707911958,0.7655102914931587,0.9569042236763831,0.9987659726353361,0.9661269482450923,0.9264499702558002,0.9993932183224272,0.9784582986317668,0.9980756692444973,0.8262698393813206,0.9790697204045211,0.910320285544319,0.9514912552052349,0.9986277215942891,0.9060809042236764,0.9848612730517549,0.8513684711481261,0.9984352171326591,0.8680416418798333
"{'augmentation': 'Mixup', 'preprocess': 'minmax', 'network_architecture': 'FTT', 'layers': 2, 'hidden_size_list': None, 'act_fun': 'ReLU', 'dropout': None, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'Adam', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'weight_decay': 0.01}",0.7989256708026686,0.9941968730893528,0.9814450154121691,0.9642823742857409,,0.9523006638946034,0.9957270672218919,,0.9994586555621655,0.9754182034503271,0.6114111838191552,0.9855638310529446,0.9997199286139202,0.9778675788221297,0.9757986912552052,0.998955740630577,0.9887262343842951,0.9987215942891136,0.8890772159428912,0.9796487804878049,0.9137825104104699,0.9672547293277811,0.9969288518738846,0.918612730517549,0.9944439024390245,0.9454948245092208,0.9937265913146937,0.9005734681737062
"{'augmentation': 'Oversampling', 'preprocess': 'minmax', 'network_architecture': 'MLP', 'layers': 2, 'hidden_size_list': [100, 20], 'act_fun': 'ReLU', 'dropout': 0.0, 'network_initialization': 'default', 'training_strategy': None, 'loss_name': 'hinge', 'optimizer_name': 'RMSprop', 'batch_resample': True, 'epochs': 50, 'batch_size': 256, 'lr': 0.01, 'weight_decay': 0.01}",0.7893584348210919,0.9556843392436021,0.9824144213820997,0.93403625302771,0.9783970207180216,0.9272977379004633,0.9942279595478882,0.9955095776323617,0.9994170136823319,0.9796866151100536,0.8509865556216538,0.9738055919095776,0.9987148126115407,0.9753759666864961,0.9629368233194527,0.9990310529446758,0.9770210588935158,0.9977344437834622,0.8887337299226651,0.9790262938726948,0.9825568114217728,0.9555543129089829,0.9983267102914931,0.9159217132659131,0.9777024390243901,0.8295886972040452,0.998178227245687,0.9120437834622248
